video_id,trending_date,title,Channel_id,category_id,publish_date,views,likes,dislikes,comment_count,country
zzVFyVNgtsc,2018-05-04,Our World in 2018: DISTURBING VIDEO!,7785,25,2018-05-04,51768,2537,98,1409,Canada
zzVFyVNgtsc,2018-05-05,Our World in 2018: DISTURBING VIDEO!,7785,25,2018-05-04,142083,4606,225,2314,Canada
ZzStPviPY90,2018-05-13,Chris Chan: A Comprehensive History - Part 10,6337,24,2018-05-12,61449,3725,63,2584,Great Britain
ZzStPviPY90,2018-05-16,Chris Chan: A Comprehensive History - Part 10,6337,24,2018-05-12,108042,4668,98,3404,Great Britain
ZzStPviPY90,2018-05-17,Chris Chan: A Comprehensive History - Part 10,6337,24,2018-05-12,115051,4783,102,3524,Great Britain
ZzStPviPY90,2018-05-18,Chris Chan: A Comprehensive History - Part 10,6337,24,2018-05-12,119891,4857,104,3568,Great Britain
ZzStPviPY90,2018-05-19,Chris Chan: A Comprehensive History - Part 10,6336,24,2018-05-12,123929,4912,106,3634,Great Britain
ZzStPviPY90,2018-05-20,Chris Chan: A Comprehensive History - Part 10,6336,24,2018-05-12,127761,4960,110,3667,Great Britain
ZzStPviPY90,2018-05-21,Chris Chan: A Comprehensive History - Part 10,6337,24,2018-05-12,131837,5014,111,3700,Great Britain
ZzStPviPY90,2018-05-27,Chris Chan: A Comprehensive History - Part 10,6337,24,2018-05-12,148901,5246,117,3905,Great Britain
ZzStPviPY90,2018-05-28,Chris Chan: A Comprehensive History - Part 10,6337,24,2018-05-12,151780,5278,117,3920,Great Britain
ZzStPviPY90,2018-05-29,Chris Chan: A Comprehensive History - Part 10,6337,24,2018-05-12,154129,5312,118,3952,Great Britain
ZzStPviPY90,2018-05-30,Chris Chan: A Comprehensive History - Part 10,6337,24,2018-05-12,156082,5349,119,4008,Great Britain
ZzStPviPY90,2018-05-31,Chris Chan: A Comprehensive History - Part 10,6337,24,2018-05-12,158621,5379,120,4047,Great Britain
ZZoF-ZHERTY,2018-04-15,Trump orders strike on Syria,10260,25,2018-04-14,483251,1299,945,2489,Canada
zZb4egM02RI,2018-04-07,6. April 2018 - Bundespressekonferenz - RegPK,14424,25,2018-04-06,6644,113,14,116,Denmark
zZ9cPmJ_v4w,2018-05-25,BYN : Under 25,2656,23,2018-05-24,1107579,108347,1200,6292,India
zZ9cPmJ_v4w,2018-05-26,BYN : Under 25,2656,23,2018-05-24,1679925,131783,1723,7134,India
zZ9cPmJ_v4w,2018-05-27,BYN : Under 25,2656,23,2018-05-24,1895759,139375,1897,7436,India
zZ9cPmJ_v4w,2018-05-28,BYN : Under 25,2656,23,2018-05-24,2013522,142947,1975,7529,India
zZ9cPmJ_v4w,2018-05-29,BYN : Under 25,2656,23,2018-05-24,2103668,145476,2035,7647,India
ZZ6ZhLQJ9tk,2018-04-14,SARAH - Genau hier (Official Video),12707,10,2018-04-12,211187,13008,960,830,Denmark
ZZ6ZhLQJ9tk,2018-04-15,SARAH - Genau hier (Official Video),12707,10,2018-04-12,346473,17020,1245,947,Denmark
zz2vrPorALM,2018-04-23,Most Hilarious Tweets Of 2018,12349,24,2018-04-22,215621,11897,139,1526,Canada
zY8BXo688Gc,2018-05-01,#MasterChefGR - trailer Î¤ÏÎ¯Ï„Î· 1.5.2018,10055,22,2018-04-30,48065,524,12,162,Denmark
ZY1BFv8qEeM,2018-04-07,How Cruise Ships Work,11957,27,2018-04-06,143843,3760,288,296,Canada
zy_df28N7WE,2018-04-27,The Struggles of Grinding,7378,23,2018-04-26,346095,42677,512,4036,Canada
zXXxZmwpPnc,2018-05-22,MASSIVE GADGET UNBOXING!!,7380,28,2018-05-21,172102,9319,219,1037,Canada
zxwfDlhJIpw,2018-05-02,kanye west / charlamagne interview,8360,22,2018-05-01,3134765,88905,7526,26692,US
zxwfDlhJIpw,2018-05-03,kanye west / charlamagne interview,8360,22,2018-05-01,5434079,131430,14405,39155,US
zxwfDlhJIpw,2018-05-04,kanye west / charlamagne interview,8360,22,2018-05-01,6501880,146981,16815,43326,US
zxwfDlhJIpw,2018-05-05,kanye west / charlamagne interview,8360,22,2018-05-01,7105747,153667,17804,45109,US
zxwfDlhJIpw,2018-05-06,kanye west / charlamagne interview,8360,22,2018-05-01,7457592,157118,18312,46149,US
zxwfDlhJIpw,2018-05-07,kanye west / charlamagne interview,8360,22,2018-05-01,7677947,159164,18620,46767,US
zxwfDlhJIpw,2018-05-08,kanye west / charlamagne interview,8360,22,2018-05-01,7832600,160588,18813,47114,US
zxwfDlhJIpw,2018-05-09,kanye west / charlamagne interview,8360,22,2018-05-01,7950684,161696,18944,47328,US
zxwfDlhJIpw,2018-05-10,kanye west / charlamagne interview,8360,22,2018-05-01,8045355,162619,19050,47543,US
zxwfDlhJIpw,2018-05-11,kanye west / charlamagne interview,8360,22,2018-05-01,8121113,163378,19117,47699,US
zxwfDlhJIpw,2018-05-12,kanye west / charlamagne interview,8360,22,2018-05-01,8171186,163845,19167,47812,US
zxwfDlhJIpw,2018-05-13,kanye west / charlamagne interview,8360,22,2018-05-01,8215762,164279,19213,47898,US
zxwfDlhJIpw,2018-05-14,kanye west / charlamagne interview,8360,22,2018-05-01,8241193,164604,19238,47969,US
zxwfDlhJIpw,2018-05-16,kanye west / charlamagne interview,8360,22,2018-05-01,8295147,165136,19295,48115,US
zxwfDlhJIpw,2018-05-17,kanye west / charlamagne interview,8360,22,2018-05-01,8318461,165351,19317,48178,US
zxwfDlhJIpw,2018-05-18,kanye west / charlamagne interview,8360,22,2018-05-01,8339546,165554,19346,48248,US
zxwfDlhJIpw,2018-05-19,kanye west / charlamagne interview,8360,22,2018-05-01,8357344,165727,19357,48316,US
zxwfDlhJIpw,2018-05-20,kanye west / charlamagne interview,8360,22,2018-05-01,8373369,165896,19377,48356,US
zxwfDlhJIpw,2018-05-21,kanye west / charlamagne interview,8360,22,2018-05-01,8388846,166055,19395,48389,US
zxwfDlhJIpw,2018-05-22,kanye west / charlamagne interview,8360,22,2018-05-01,8403866,166188,19412,48420,US
zxwfDlhJIpw,2018-05-23,kanye west / charlamagne interview,8360,22,2018-05-01,8418654,166297,19426,48401,US
zxwfDlhJIpw,2018-05-24,kanye west / charlamagne interview,8360,22,2018-05-01,8431178,166420,19445,48409,US
zxwfDlhJIpw,2018-05-25,kanye west / charlamagne interview,8360,22,2018-05-01,8442986,166520,19462,48467,US
zxwfDlhJIpw,2018-05-26,kanye west / charlamagne interview,8360,22,2018-05-01,8459566,166658,19479,48497,Great Britain
zxwfDlhJIpw,2018-05-27,kanye west / charlamagne interview,8360,22,2018-05-01,8473031,166781,19493,48494,Great Britain
zxwfDlhJIpw,2018-05-28,kanye west / charlamagne interview,8360,22,2018-05-01,8486581,166889,19506,48506,Great Britain
zxwfDlhJIpw,2018-05-29,kanye west / charlamagne interview,8360,22,2018-05-01,8499873,167007,19521,48498,Great Britain
zxwfDlhJIpw,2018-05-30,kanye west / charlamagne interview,8360,22,2018-05-01,8511992,167140,19542,48530,Great Britain
zxwfDlhJIpw,2018-05-31,kanye west / charlamagne interview,8360,22,2018-05-01,8533187,167383,19560,48563,Great Britain
zXQkZFTXT0I,2018-05-18,Djani - Zali boze te lepote (Official video 2018),12201,24,2018-05-17,172957,6074,75,343,Denmark
zXQkZFTXT0I,2018-05-19,Djani - Zali boze te lepote (Official video 2018),12201,24,2018-05-17,384677,8393,148,462,Denmark
zXQkZFTXT0I,2018-05-20,Djani - Zali boze te lepote (Official video 2018),12201,24,2018-05-17,552789,9378,190,490,Denmark
zX9fw8z1lr8,2018-04-30,Comment Awards v123,3856,23,2018-04-29,377447,10732,214,1402,Denmark
zX9fw8z1lr8,2018-05-01,Comment Awards v123,3856,23,2018-04-29,501298,12785,297,1602,Canada
zWxZmLxBd2k,2018-05-18,Extra 3 vom 16.05.2018 | extra 3 | NDR,5687,23,2018-05-17,77738,1457,108,181,Denmark
zWwcUXx5jOU,2018-05-08,Spiel 10 - Kart-Duell - Schlag den Henssler,10870,24,2018-05-07,8852,53,9,13,Denmark
ZWvYYkbgj4k,2018-05-17,Klem Ennes S06 Episode 36 16-05-2018 Partie 02,8898,24,2018-05-16,53310,236,70,122,Denmark
ZWrkOm98VWY,2018-05-13,Shiny Copper Gear,14179,27,2018-05-12,475125,13304,498,2999,Canada
Zwmri1KqBLA,2018-04-25,SÃ©rie NAFI - Episode 18,9993,24,2018-04-24,314178,4538,381,1682,Canada
ZWHCG4Q-kL4,2018-04-04,Matt Stonie vs Las Vegas Buffet (ft. Morgan),10084,24,2018-04-04,396186,18346,1029,2426,Canada
zWenJ272G1A,2018-05-06,Mein FANTREFFEN in Berlin! #ChooseGO Berlin,4536,22,2018-05-05,8910,1333,8,76,Denmark
ZweA4WKNBTQ,2018-04-04,AdÄ±nÄ± Sen Koy 317. BÃ¶lÃ¼m,1536,22,2018-04-03,233042,1781,248,650,Denmark
Zw3tdbnK0d0,2018-04-25,Elif 717. BÃ¶lÃ¼m | Season 4 Episode 157,5354,24,2018-04-24,52152,456,84,153,Denmark
ZVRtKPbZoww,2018-05-14,No such thing as stupid questions?,3328,20,2018-05-13,110526,4678,71,765,Canada
ZVM_V18Tz1s,2018-05-04,Is Kanye West waking up from MK Ultra?,8063,28,2018-05-03,132111,4548,304,2163,Canada
ZVM_V18Tz1s,2018-05-05,Is Kanye West waking up from MK Ultra?,8063,28,2018-05-03,260485,7628,559,3276,Canada
ZvKS6Gxx5sE,2018-05-22,And You Thought Fox News Couldn't Get Any Worse...,14275,25,2018-05-22,76204,2138,141,855,Canada
zvFQWPEuNJA,2018-04-14,Taco Bell Pop-Tart Taste Test,6496,24,2018-04-09,713397,13661,495,1264,US
zvFQWPEuNJA,2018-04-15,Taco Bell Pop-Tart Taste Test,6496,24,2018-04-09,727057,13809,506,1256,US
zvFQWPEuNJA,2018-04-16,Taco Bell Pop-Tart Taste Test,6496,24,2018-04-09,740854,13951,515,1258,US
zVEnDaoVZr4,2018-04-21,Megasus Horserunners im Praxistest,11807,15,2018-04-20,4944,327,13,48,Denmark
Zv7mc3TygO4,2018-05-05,I DON'T LIKE MARVEL MOVIES,11804,24,2018-05-04,1874531,196958,44480,81323,Great Britain
Zv7mc3TygO4,2018-05-06,I DON'T LIKE MARVEL MOVIES,11804,24,2018-05-04,2812891,256910,59050,100458,Great Britain
Zv7mc3TygO4,2018-05-07,I DON'T LIKE MARVEL MOVIES,11804,24,2018-05-04,3128045,275389,62886,105010,Great Britain
Zv7mc3TygO4,2018-05-08,I DON'T LIKE MARVEL MOVIES,11804,24,2018-05-04,3274427,284401,64672,107050,Great Britain
Zv7mc3TygO4,2018-05-09,I DON'T LIKE MARVEL MOVIES,11804,24,2018-05-04,3408504,292687,66680,108480,Great Britain
Zv7mc3TygO4,2018-05-10,I DON'T LIKE MARVEL MOVIES,11804,24,2018-05-04,3513017,298084,67751,109660,Great Britain
Zv7mc3TygO4,2018-05-11,I DON'T LIKE MARVEL MOVIES,11804,24,2018-05-04,3556596,300422,68147,110078,Great Britain
Zv7mc3TygO4,2018-05-12,I DON'T LIKE MARVEL MOVIES,11804,24,2018-05-04,3591667,302139,68490,110434,Great Britain
Zv7mc3TygO4,2018-05-13,I DON'T LIKE MARVEL MOVIES,11804,24,2018-05-04,3622633,303796,68833,110685,Great Britain
Zv7mc3TygO4,2018-05-14,I DON'T LIKE MARVEL MOVIES,11804,24,2018-05-04,3645121,305178,69087,110953,Great Britain
Zv7mc3TygO4,2018-05-16,I DON'T LIKE MARVEL MOVIES,11804,24,2018-05-04,3695867,307622,69587,111443,Great Britain
Zv7mc3TygO4,2018-05-17,I DON'T LIKE MARVEL MOVIES,11804,24,2018-05-04,3712560,308392,69791,111592,Great Britain
Zv7mc3TygO4,2018-05-18,I DON'T LIKE MARVEL MOVIES,11804,24,2018-05-04,3723528,309006,69948,111765,Great Britain
Zv7mc3TygO4,2018-05-19,I DON'T LIKE MARVEL MOVIES,11804,24,2018-05-04,3732965,309461,70077,111840,Great Britain
Zv7mc3TygO4,2018-05-20,I DON'T LIKE MARVEL MOVIES,11804,24,2018-05-04,3742502,309963,70179,111938,Great Britain
Zv7mc3TygO4,2018-05-22,I DON'T LIKE MARVEL MOVIES,11804,24,2018-05-04,3761125,311006,70357,112140,Great Britain
Zv7mc3TygO4,2018-05-23,I DON'T LIKE MARVEL MOVIES,11804,24,2018-05-04,3767987,311368,70433,112232,Great Britain
Zv7mc3TygO4,2018-05-24,I DON'T LIKE MARVEL MOVIES,11804,24,2018-05-04,3774332,311686,70493,112261,Great Britain
Zv7mc3TygO4,2018-05-25,I DON'T LIKE MARVEL MOVIES,11804,24,2018-05-04,3779974,311981,70540,112302,Great Britain
Zv7mc3TygO4,2018-05-26,I DON'T LIKE MARVEL MOVIES,11804,24,2018-05-04,3786047,312351,70581,112327,Great Britain
Zv7mc3TygO4,2018-05-27,I DON'T LIKE MARVEL MOVIES,11804,24,2018-05-04,3790712,312570,70615,112369,Great Britain
ZUV53Nn3PhA,2018-04-30,Replay of New Shepard Mission 8 Livestream,2914,28,2018-04-29,177764,3308,252,483,US
ZUV53Nn3PhA,2018-05-01,Replay of New Shepard Mission 8 Livestream,2914,28,2018-04-29,254569,3899,314,712,US
ZUV53Nn3PhA,2018-05-02,Replay of New Shepard Mission 8 Livestream,2914,28,2018-04-29,289836,4148,348,796,US
ZUV53Nn3PhA,2018-05-03,Replay of New Shepard Mission 8 Livestream,2914,28,2018-04-29,300253,4281,353,848,US
ZUV53Nn3PhA,2018-05-04,Replay of New Shepard Mission 8 Livestream,2914,28,2018-04-29,307314,4368,360,866,US
ZUV53Nn3PhA,2018-05-05,Replay of New Shepard Mission 8 Livestream,2914,28,2018-04-29,312285,4422,363,868,US
